time,"latitude[unit=""degrees_north""]","longitude[unit=""degrees_east""]","temperature01[unit=""deg_C""]","temperature02[unit=""deg_C""]","temperature03[unit=""deg_C""]","temperature04[unit=""deg_C""]","temperature05[unit=""deg_C""]","temperature06[unit=""deg_C""]","temperature07[unit=""deg_C""]","temperature08[unit=""deg_C""]","temperature09[unit=""deg_C""]","temperature10[unit=""deg_C""]","temperature11[unit=""deg_C""]","temperature12[unit=""deg_C""]","temperature13[unit=""deg_C""]","temperature14[unit=""deg_C""]","temperature15[unit=""deg_C""]","temperature16[unit=""deg_C""]","temperature17[unit=""deg_C""]","temperature18[unit=""deg_C""]","temperature19[unit=""deg_C""]","temperature20[unit=""deg_C""]","temperature21[unit=""deg_C""]","temperature22[unit=""deg_C""]","temperature23[unit=""deg_C""]","temperature24[unit=""deg_C""]","timestamp[unit=""1""]","temperature03b[unit=""deg_C""]"
2017-09-04T03:00:20.340Z,45.933,-130.013,3.6693,2.7631,9.596,4.756,2.9635,2.9284,3.2636,2.9651,3.1033,2.6185,3.2862,4.5292,3.3215,2.9296,2.7715,4.2587,3.2912,2.7838,2.4964,2.5509,2.8148,2.4998,2.4733,3.2505,3.16E+09,4.798
2017-09-04T03:00:30.340Z,45.933,-130.013,3.6897,2.7499,9.7299,4.7658,2.9494,2.9389,3.2287,2.9562,3.1122,2.6204,3.2563,4.5766,3.3161,2.9397,2.7761,4.3242,3.2575,2.7617,2.4955,2.5721,2.804,2.4991,2.4724,3.2275,3.16E+09,4.86495
2017-09-04T03:00:40.338Z,45.933,-130.013,3.7142,2.7357,9.8918,4.771,2.9391,2.946,3.1941,2.9533,3.1217,2.6219,3.2269,4.5866,3.3163,2.9476,2.7788,4.4036,3.2391,2.7404,2.4944,2.6058,2.7948,2.4993,2.4717,3.2004,3.16E+09,4.9459
2017-09-04T03:00:50.338Z,45.933,-130.013,3.7443,2.7218,10.0552,4.7659,2.9313,2.9493,3.1618,2.9521,3.1288,2.624,3.2006,4.6466,3.3194,2.9557,2.7793,4.4541,3.2422,2.7241,2.4957,2.6444,2.7874,2.4986,2.4712,3.1685,3.16E+09,5.0276
2017-09-04T03:01:00.338Z,45.933,-130.013,3.774,2.7083,10.1795,4.7582,2.9247,2.9476,3.1305,2.9476,3.1362,2.6252,3.1724,4.7218,3.3253,2.9691,2.7802,4.4782,3.264,2.723,2.4951,2.6768,2.7849,2.4981,2.4709,3.1341,3.16E+09,5.08975
2017-09-04T03:01:10.338Z,45.933,-130.013,3.7904,2.6971,10.2773,4.7434,2.915,2.9422,3.1021,2.9419,3.1419,2.6266,3.1512,4.7528,3.3305,2.9872,2.7811,4.4872,3.2679,2.7366,2.4952,2.6976,2.7831,2.4971,2.4704,3.1118,3.16E+09,5.13865
2017-09-04T03:01:20.338Z,45.933,-130.013,3.8016,2.6868,10.2604,4.7155,2.9005,2.935,3.0794,2.9371,3.1467,2.6274,3.1396,4.729,3.3335,3.0055,2.7827,4.4786,3.2658,2.7502,2.4958,2.707,2.7863,2.4966,2.4702,3.1241,3.16E+09,5.1302
2017-09-04T03:01:30.337Z,45.933,-130.013,3.811,2.677,10.1881,4.6919,2.8832,2.9269,3.0644,2.9362,3.152,2.6282,3.1322,4.6584,3.3353,3.022,2.7845,4.4544,3.2368,2.7556,2.4954,2.706,2.7931,2.4967,2.4695,3.1462,3.16E+09,5.09405
2017-09-04T03:01:40.337Z,45.933,-130.013,3.8182,2.6704,10.0965,4.6581,2.8676,2.9162,3.0526,2.9354,3.155,2.6292,3.1256,4.5737,3.3346,3.0356,2.7856,4.4392,3.1837,2.7523,2.4941,2.6978,2.8036,2.496,2.4689,3.1513,3.16E+09,5.04825
2017-09-04T03:01:50.336Z,45.933,-130.013,3.8194,2.6647,10.0037,4.6012,2.8488,2.9048,3.0423,2.9315,3.1578,2.6293,3.1172,4.4763,3.3332,3.0446,2.7854,4.4345,3.1249,2.7438,2.4915,2.6856,2.8146,2.4936,2.4682,3.1356,3.16E+09,5.00185
